company_id,fiscal_year,computed_eps,published_eps,eps_rel_error_pct,computed_pe,published_pe,pe_rel_error_pct,check_scope,source_url
ase,2027,28.255895,27.81,1.603,21.1794,21.2,0.097,forecast,https://www.marketscreener.com/quote/stock/ASE-TECHNOLOGY-HOLDING-CO-43344229/finances/
ase,2028,36.471455,36.06,1.141,16.1496,,,forecast,https://www.marketscreener.com/quote/stock/ASE-TECHNOLOGY-HOLDING-CO-43344229/finances/
hygon,2024,0.830099,0.83,0.012,297.8077,,,historical,https://www.marketscreener.com/quote/stock/HYGON-INFORMATION-TECHNOL-148161332/finances/
hygon,2025,1.096920,1.1,0.280,225.3674,,,historical,https://www.marketscreener.com/quote/stock/HYGON-INFORMATION-TECHNOL-148161332/finances/
hygon,2026,1.917130,1.926,0.461,128.3541,128,0.277,forecast,https://www.marketscreener.com/quote/stock/HYGON-INFORMATION-TECHNOL-148161332/finances/
hygon,2027,2.990585,3.058,2.205,80.8404,80.8,0.050,forecast,https://www.marketscreener.com/quote/stock/HYGON-INFORMATION-TECHNOL-148161332/finances/
hygon,2028,4.377454,4.651,5.881,56.4735,,,forecast,https://www.marketscreener.com/quote/stock/HYGON-INFORMATION-TECHNOL-148161332/finances/
infineon,2024,1.002840,0.97,3.386,54.7246,,,historical,https://www.marketscreener.com/quote/stock/INFINEON-TECHNOLOGIES-AG-436299/finances/
infineon,2025,0.781319,0.76,2.805,70.2402,,,historical,https://www.marketscreener.com/quote/stock/INFINEON-TECHNOLOGIES-AG-436299/finances/
infineon,2026,1.290397,1.275,1.208,43.0431,43.7,1.503,forecast,https://www.marketscreener.com/quote/stock/INFINEON-TECHNOLOGIES-AG-436299/finances/
infineon,2027,2.384111,2.409,1.033,22.7812,23.2,1.805,forecast,https://www.marketscreener.com/quote/stock/INFINEON-TECHNOLOGIES-AG-436299/finances/
infineon,2028,3.227921,3.306,2.362,17.0017,,,forecast,https://www.marketscreener.com/quote/stock/INFINEON-TECHNOLOGIES-AG-436299/finances/
cadence,2024,3.846673,3.85,0.086,79.7234,,,historical,https://www.marketscreener.com/quote/stock/CADENCE-DESIGN-SYSTEMS-IN-8724/finances/
