company_id,calendar_year,reporting_currency,fiscal_year_weight,next_fiscal_year_weight,eps,eps_usd,fcf_per_share,fcf_per_share_usd,usd_per_reporting_currency,eps_usd_method,fcf_per_share_usd_method,pe,ev_to_fcf,net_leverage,calculation_quality,tail_imputed,missing_input_count,earnings_basis,valuation_date,forecast_source_date
smic,2028,USD,1,0,0.2676,0.2676,0.0223,0.0223,1,reported-usd,reported-usd,32.09,430.45,0.97,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
naura,2027,CNY,1,0,15.67,2.3322,4.6521,0.6924,0.148830117116,official-fx,official-fx,42.61,141.31,-0.54,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
naura,2028,CNY,1,0,20.73,3.0852,17.9843,2.6766,0.148830117116,official-fx,official-fx,32.21,36.17,-0.64,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
samsung-electro-mechanics,2027,KRW,1,0,41946,30.9043,16145.0488,11.8951,0.000736763316,official-fx,official-fx,33.38,86.9,0.04,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
samsung-electro-mechanics,2028,KRW,1,0,64505,47.5249,39964.0886,29.4441,0.000736763316,official-fx,official-fx,21.7,34.72,-0.12,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
shin-etsu,2027,JPY,0.246575,0.753425,333.5904,2.1382,240.3432,1.5405,0.006409690414,official-fx,official-fx,17.56,21.49,-1.2,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
shin-etsu,2028,JPY,0.248634,0.751366,375.2574,2.4053,248.671,1.5939,0.006409690414,official-fx,official-fx,15.61,20.74,-1.1,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
monolithic-power,2027,USD,1,0,30.12,30.12,32.7819,32.7819,1,reported-usd,reported-usd,40.48,35.11,-1.65,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
monolithic-power,2028,USD,1,0,36.23,36.23,42.3865,42.3865,1,reported-usd,reported-usd,33.66,26.35,-2.03,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
nxp,2027,USD,1,0,15.63,15.63,16.4615,16.4615,1,reported-usd,reported-usd,14.68,14.85,0.59,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
nxp,2028,USD,1,0,18.18,18.18,19.4278,19.4278,1,reported-usd,reported-usd,12.62,12.14,0.22,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
teradyne,2027,USD,1,0,11.74,11.74,9.1467,9.1467,1,reported-usd,reported-usd,29.1,36.27,-0.67,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
teradyne,2028,USD,1,0,15.58,15.58,13.2403,13.2403,1,reported-usd,reported-usd,21.93,24.52,-0.96,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
coherent,2027,USD,0.49589,0.50411,9.8306,9.8306,3.3612,3.3612,1,reported-usd,reported-usd,26.39,78.59,0.27,direct,0,0,published-consensus-eps,2026-09-03,2026-09-08
coherent,2028,USD,0.497268,0.502732,14.6986,14.6986,10.2382,10.2382,1,reported-usd,reported-usd,17.65,24.84,-0.2,direct,0,0,published-consensus-eps,2026-09-03,2026-09-08
