company_id,fiscal_year,fiscal_period,reporting_currency,net_income,income_scale,ebitda,fcf,fcf_scale,net_debt,net_debt_scale,diluted_shares_thousands,source_eps,share_source_method,source_url,source_retrieved_at
lam-research,2029,June,USD,17350,Million,18805,14138,Million,-16169,Million,1251321,13.96,published diluted share count,https://www.marketscreener.com/quote/stock/LAM-RESEARCH-CORPORATION-4877/finances/,2026-09-03
applied-materials,2024,October,USD,7177,Million,8316,7487,Million,-3212,Million,824404,8.61,published diluted share count,https://www.marketscreener.com/quote/stock/APPLIED-MATERIALS-INC-4850/finances/,2026-09-03
applied-materials,2025,October,USD,6998,Million,8997,5698,Million,-2018,Million,796642,8.66,published diluted share count,https://www.marketscreener.com/quote/stock/APPLIED-MATERIALS-INC-4850/finances/,2026-09-03
applied-materials,2026,October,USD,10537,Million,11854,5642,Million,-2215,Million,793597,13.19,published diluted share count,https://www.marketscreener.com/quote/stock/APPLIED-MATERIALS-INC-4850/finances/,2026-09-03
applied-materials,2027,October,USD,14616,Million,16981,10618,Million,-8148,Million,793597,18.44,published diluted share count,https://www.marketscreener.com/quote/stock/APPLIED-MATERIALS-INC-4850/finances/,2026-09-03
applied-materials,2028,October,USD,18519,Million,21211,13972,Million,-14265,Million,793597,23.92,published diluted share count,https://www.marketscreener.com/quote/stock/APPLIED-MATERIALS-INC-4850/finances/,2026-09-03
arm,2024,March,USD,306,Million,1570,907,Million,-2923,Million,1028075,0.29,published diluted share count,https://www.marketscreener.com/quote/stock/ARM-HOLDINGS-PLC-159091235/finances/,2026-09-03
arm,2025,March,USD,792,Million,2054,99,Million,-2825,Million,1054000,0.75,published diluted share count,https://www.marketscreener.com/quote/stock/ARM-HOLDINGS-PLC-159091235/finances/,2026-09-03
arm,2026,March,USD,904,Million,2364,882,Million,-3601,Million,1062000,0.85,published diluted share count,https://www.marketscreener.com/quote/stock/ARM-HOLDINGS-PLC-159091235/finances/,2026-09-03
arm,2027,March,USD,1346,Million,2967,1860,Million,-4440,Million,1068079,1.257,published diluted share count,https://www.marketscreener.com/quote/stock/ARM-HOLDINGS-PLC-159091235/finances/,2026-09-03
arm,2028,March,USD,1950,Million,3906,2768,Million,-6590,Million,1068079,1.806,published diluted share count,https://www.marketscreener.com/quote/stock/ARM-HOLDINGS-PLC-159091235/finances/,2026-09-03
arm,2029,March,USD,2955,Million,5217,4011,Million,-9874,Million,1068079,2.683,published diluted share count,https://www.marketscreener.com/quote/stock/ARM-HOLDINGS-PLC-159091235/finances/,2026-09-03
